text,intent

what time is it,get_time
tell me the time,get_time
give me the time,get_time
current time,get_time

play some music,play_music
start music,play_music
put on a song,play_music

open calculator,open_calculator
launch calculator,open_calculator

what is the date,get_date
what date is today,get_date
current date,get_date

open settings,open_settings
open configuration,open_settings

reload model,reload_model
reload TTS model,reload_model
reload Tacotron 2,reload_model
reload TTS,reload_model
